"Name","ResourcePath","Category","ArmsOnly","SizeKB"
"inazuma yukata","agents/models/hmn_ag2/kantai_collection/inazuma_yukata/inazuma_yukata.vmdl","agents","False","542.8"
"iuno","agents/maoling/wuthering_waves/iuno/normal/iuno.vmdl","agents","False","965.9"
"jahoda","agents/models/oylsister/genshin/jahoda/jahoda.vmdl","agents","False","772.2"
"jashin tokitori","agents/models/hmn_ag2/zombie/jashin_tokitori/jashin_tokitori.vmdl","agents","False","343"
"jiangyu","agents/models/hmn_ag2/dollsfrontline2/jiangyu/jiangyu.vmdl","agents","False","1280.1"
"kanami","agents/maoling/strinova/kanami/swimsuit/kanami.vmdl","agents","False","785.8"
"karin bunny","agents/models/hmn_ag2/blue_archive/karin/karin_bunny.vmdl","agents","False","1644.8"
"katja","agents/models/hmn_ag2/eternal_return/katja/katja.vmdl","agents","False","1419.4"
"keqing","agents/maoling/genshin_impact/keqing/normal/keqing.vmdl","agents","False","517.8"
"kiana","agents/maoling/honkai_impact/kiana/flame/kiana.vmdl","agents","False","597.4"
"kiana","agents/maoling/honkai_impact/kiana/twins/kiana.vmdl","agents","False","733.9"
"kira","agents/maoling/honkai_impact/shigure_kira/normal/kira.vmdl","agents","False","692.6"
"kirara","agents/maoling/genshin_impact/kirara/normal/kirara.vmdl","agents","False","809.7"
"kirito","agents/fys/kirito/kirito.vmdl","agents","False","836"
"klukai","agents/models/hmn_ag2/dollsfrontline2/klukai/klukai.vmdl","agents","False","1288.5"
"koishi","agents/models/hmn_ag2/touhou/koishi/koishi.vmdl","agents","False","769.9"
"konuri maki","agents/maoling/blue_archive/konuri_maki/konuri_maki.vmdl","agents","False","701.5"
"kotone","agents/models/hmn_ag2/gakuen_idolmaster/kotone/kotone.vmdl","agents","False","1398.9"
"kuramitsuha","agents/models/hmn_ag2/aether_gazer/kuramitsuha/kuramitsuha.vmdl","agents","False","996.2"
"laevatain","agents/models/hmn_ag2/arknights_endfield/laevatain/laevatain.vmdl","agents","False","1813"
"lafei","agents/fys/lafei/lafei.vmdl","agents","False","599.7"
"lamy","agents/models/hmn_ag2/vtuber/lamy/lamy.vmdl","agents","False","1664.1"
"lappland","agents/models/hmn_ag2/arknights/lappland/lappland.vmdl","agents","False","1381.5"
"lenna","agents/models/hmn_ag2/dollsfrontline2/lenna/lenna.vmdl","agents","False","1282.8"
"leon","agents/maoling/re2/leon/leon.vmdl","agents","False","427.5"
"leon re2","agents/models/hmn_ag2/biohazard/leon_re2/leon_re2.vmdl","agents","False","1689.8"
"leva","agents/models/hmn_ag2/dollsfrontline2/leva/leva.vmdl","agents","False","1681.1"
"lila decyrus","agents/models/hmn_ag2/atelier_ryza/lila_decyrus/lila_decyrus.vmdl","agents","False","859"
"lind","agents/models/hmn_ag2/dollsfrontline2/lind/lind.vmdl","agents","False","1532.1"
"liv","agents/maoling/gray_raven/liv/empyrea/liv.vmdl","agents","False","571"
"longniang","agents/maoling/honkai_impact/creation/long_niang/longniang.vmdl","agents","False","913.5"
"lucia","agents/maoling/gray_raven/lucia/plume/lucia.vmdl","agents","False","671.9"
"lycaon","agents/models/hmn_ag2/zenless_zone_zero/lycaon/lycaon.vmdl","agents","False","1064.6"
"lynae","agents/models/hmn_ag2/wuthering_waves/lynae/lynae.vmdl","agents","False","1846.7"
"macqiato","agents/models/hmn_ag2/dollsfrontline2/macqiato/macqiato.vmdl","agents","False","1108.4"
"mako","agents/models/hmn_ag2/senren_banka/hitachi_mako/mako.vmdl","agents","False","772.8"
"manuka","agents/fys/manuka/manuka.vmdl","agents","False","1614.2"
"maribel hearn","agents/models/hmn_ag2/touhou/maribel_hearn/maribel_hearn.vmdl","agents","False","953.9"
"marine","agents/models/hmn_ag2/vtuber/marine/marine.vmdl","agents","False","1724.7"
"marisa","agents/models/hmn_ag2/touhou/marisa/marisa.vmdl","agents","False","771.1"
"master chief","agents/models/hmn_ag2/halo_infinite/master_chief/master_chief.vmdl","agents","False","1444.3"
"master chief White","agents/models/s2ze/master_chief/master_chief_White.vmdl","agents","False","606.6"
"matika","agents/models/oylsister/uma_musume/matika/matika.vmdl","agents","False","453.4"
"matika arms","agents/models/oylsister/uma_musume/matika/matika_arms.vmdl","agents","True","198.9"
"matika2","agents/models/oylsister/uma_musume/matika/matika2.vmdl","agents","False","453.4"
"mechty","agents/models/hmn_ag2/dollsfrontline2/mechty/mechty.vmdl","agents","False","1202.9"
"megumin","agents/models/hmn_ag2/konosuba/megumin/megumin.vmdl","agents","False","1280.3"
"mika","agents/models/hmn_ag2/blue_archive/mika/mika.vmdl","agents","False","827.1"
"mika misono","agents/models/hmn_ag2/blue_archive/mika_misono/mika_misono.vmdl","agents","False","1492.2"
"miku sk2model","agents/models/hmn_ag2/vocaloid/miku/miku_sk2model.vmdl","agents","False","823.5"
"miku sk2modellimitedcolision","agents/models/hmn_ag2/vocaloid/miku/miku_sk2modellimitedcolision.vmdl","agents","False","821.9"
"milltina","agents/fys/milltina_sj/milltina.vmdl","agents","False","1262"
"mint","agents/models/hmn_ag2/neverness_to_everness/mint/mint.vmdl","agents","False","1744.4"
"mita","agents/models/hmn_ag2/miside/mita/mita.vmdl","agents","False","996.5"
"mityl","agents/models/hmn_ag2/dollsfrontline2/mityl/mityl.vmdl","agents","False","1934.3"
"miyabi","agents/maoling/zenless_zone_zero/hoshimi_miyabi/normal/miyabi.vmdl","agents","False","912.3"
"miyabi","agents/models/hmn_ag2/zenless_zone_zero/miyabi/miyabi.vmdl","agents","False","1077"
"momiji","agents/models/hmn_ag2/touhou/momiji/momiji.vmdl","agents","False","803"
"momocho","agents/models/hmn_ag2/palworld/momocho/momocho.vmdl","agents","False","285.2"
"muscular","agents/models/hmn_ag2/tokitori/muscular/muscular.vmdl","agents","False","337.3"
"nagant","agents/models/hmn_ag2/dollsfrontline2/nagant/nagant.vmdl","agents","False","1030.9"
"nanoka","agents/models/hmn_ag2/honkai_starrail/nanoka/nanoka.vmdl","agents","False","967"
"neco arc","agents/models/hmn_ag2/melty_blood_type_lumina/neco_arc/neco_arc.vmdl","agents","False","599.3"
"neco arc small","agents/models/s2ze/neco_arc/neco_arc_small.vmdl","agents","False","262.8"
"neptune","agents/models/hmn_ag2/hyperdimension_neptunia/neptune/neptune.vmdl","agents","False","678.9"
"next black","agents/models/hmn_ag2/hyperdimension_neptunia/next_black/next_black.vmdl","agents","False","680.2"
"nico","agents/models/hmn_ag2/zenless_zone_zero/nico/nico.vmdl","agents","False","1214.4"
"nikketa","agents/models/hmn_ag2/dollsfrontline2/nikketa/nikketa.vmdl","agents","False","1373.7"
"niko","agents/models/hmn_ag2/blue_archive/niko/niko.vmdl","agents","False","1522"
"niko oneshot","agents/models/hmn_ag2/oneshot/niko_oneshot/niko_oneshot.vmdl","agents","False","670.9"
"nilou","agents/maoling/genshin_impact/nilou/normal/nilou.vmdl","agents","False","676.5"
"nilou","agents/models/hmn_ag2/genshin/nilou/nilou.vmdl","agents","False","924"
"noah","agents/models/hmn_ag2/blue_archive/noah/noah.vmdl","agents","False","1173.8"
"noel","agents/models/hmn_ag2/vtuber/noel/noel.vmdl","agents","False","2123.9"
"nonomi","agents/models/hmn_ag2/blue_archive/nonomi/nonomi.vmdl","agents","False","1377.5"
"omaneko","agents/models/hmn_ag2/jasdf/omaneko/omaneko.vmdl","agents","False","1097.8"
"osiris","agents/maoling/aether_gazer/osiris/living_soul/osiris.vmdl","agents","False","828.2"
"pathfinder","agents/models/hmn_ag2/apex_legends/pathfinder/pathfinder.vmdl","agents","False","905.2"
"peely","agents/models/hmn_ag2/fortnite/peely/peely.vmdl","agents","False","262.1"
"pekora","agents/models/hmn_ag2/vtuber/pekora/pekora.vmdl","agents","False","1779"
"perlica","agents/models/hmn_ag2/arknights_endfield/perlica/perlica.vmdl","agents","False","2299.4"
"phoenix css","agents/models/hmn_ag2/counter_strike_source/phoenix_css/phoenix_css.vmdl","agents","False","326.7"
"piesuke sk2model","agents/models/hmn_ag2/zombie/piesuke/piesuke_sk2model.vmdl","agents","False","251.8"
"pikachu","agents/models/hmn_ag2/pokemon/pikachu/pikachu.vmdl","agents","False","277.9"
"prinny","agents/models/hmn_ag2/disgaea/prinny/prinny.vmdl","agents","False","255.8"
"print","agents/fys/print/print.vmdl","agents","False","923.9"
"pulchra","agents/models/hmn_ag2/zenless_zone_zero/pulchra/pulchra.vmdl","agents","False","817.5"
"pururut","agents/fys/pururut/pururut.vmdl","agents","False","324.5"
"qpgh","agents/fys/qpgh/qpgh.vmdl","agents","False","894"
"rapi","agents/models/hmn_ag2/nikke/rapi/rapi.vmdl","agents","False","1748.4"
"regenerador re4","agents/models/hmn_ag2/zombie/regenerador_re4/regenerador_re4.vmdl","agents","False","715.3"
"reimu","agents/models/hmn_ag2/touhou/reimu/reimu.vmdl","agents","False","897.8"
"reisen udongein","agents/models/hmn_ag2/touhou/reisen_udongein/reisen_udongein.vmdl","agents","False","725.1"
"remilia","agents/models/hmn_ag2/touhou/remilia/remilia.vmdl","agents","False","758.2"
"renko","agents/models/hmn_ag2/touhou/renko/renko.vmdl","agents","False","986.9"
"robin","agents/models/hmn_ag2/honkai_starrail/robin/robin.vmdl","agents","False","1011"
"ryza","agents/models/hmn_ag2/atelier_ryza/ryza/ryza.vmdl","agents","False","1116.9"
"saber","agents/models/hmn_ag2/fate_samurairemnant/saber/saber.vmdl","agents","False","1573.2"
"saber honkai","agents/models/hmn_ag2/fate_series/saber_honkai/saber_honkai.vmdl","agents","False","1058.6"
"sabrina","agents/models/hmn_ag2/dollsfrontline2/sabrina/sabrina.vmdl","agents","False","1239.2"
"sakura","agents/models/hmn_ag2/dollsfrontline2/sakura/sakura.vmdl","agents","False","1348.7"
"sakuraba ema","agents/models/hmn_ag2/magical_girl_witch_trials/sakuraba_ema/sakuraba_ema.vmdl","agents","False","1508.7"
"sakuya","agents/models/hmn_ag2/touhou/sakuya/sakuya.vmdl","agents","False","1255.7"
"sanae","agents/models/hmn_ag2/touhou/sanae/sanae.vmdl","agents","False","885.9"
"sans","agents/models/hmn_ag2/undertale/sans/sans.vmdl","agents","False","225.5"
"satori","agents/models/hmn_ag2/touhou/satori/satori.vmdl","agents","False","1035.2"
"sbpl","agents/models/hmn_ag2/zombie/sbpl_cs2/sbpl.vmdl","agents","False","295.1"
"seele","agents/maoling/honkai_impact/seele/starchasm/seele.vmdl","agents","False","1188.9"
"sensei","agents/models/hmn_ag2/saga/sensei/sensei.vmdl","agents","False","258.9"
"shiroko","agents/models/hmn_ag2/blue_archive/shiroko/shiroko.vmdl","agents","False","1342"
"shorekeeper","agents/maoling/wuthering_waves/shorekeeper/normal/shorekeeper.vmdl","agents","False","899"
"silver wolf","agents/maoling/star_rail/silver_wolf/normal/silver_wolf.vmdl","agents","False","843.1"
"simon henriksson","agents/models/hmn_ag2/cry_of_fear/simon_henriksson/simon_henriksson.vmdl","agents","False","245"
"skadi","agents/models/hmn_ag2/aether_gazer/skadi/skadi.vmdl","agents","False","975"
"skeleton","agents/models/hmn_ag2/zombie/skeleton/skeleton.vmdl","agents","False","247.4"
"skirk","agents/maoling/genshin_impact/skirk/normal/skirk.vmdl","agents","False","859.5"
"soldier","agents/fys/zombie/soldier/soldier.vmdl","agents","False","278.9"
"sophie","agents/models/hmn_ag2/atelier_sophie/sophie/sophie.vmdl","agents","False","812.8"
"soppo","agents/models/hmn_ag2/dollsfrontline2/soppo/soppo.vmdl","agents","False","1842.5"
"sora","agents/models/hmn_ag2/arknights/sora/sora.vmdl","agents","False","1565.6"
"soukaku","agents/models/hmn_ag2/zenless_zone_zero/soukaku/soukaku.vmdl","agents","False","895.2"
"sparkle","agents/maoling/honkai_impact/sparkle/normal/sparkle.vmdl","agents","False","1404.7"
"springtrap","agents/models/hmn_ag2/zombie/springtrap/springtrap.vmdl","agents","False","1832.2"
"steve","agents/models/hmn_ag2/minecraft/steve/steve.vmdl","agents","False","100.1"
"suomi","agents/models/hmn_ag2/dollsfrontline2/suomi/suomi.vmdl","agents","False","1251.4"
"syamu","agents/models/hmn_ag2/youtuber/syamu_game/syamu.vmdl","agents","False","423.5"
"takina","agents/models/hmn_ag2/lycoris_recoil/takina/takina.vmdl","agents","False","1378.4"
"tamamo","agents/models/hmn_ag2/pretty_derby/tamamo_cross/tamamo.vmdl","agents","False","1271.4"
"tasque manager","agents/models/hmn_ag2/deltarune/tasque_manager/tasque_manager.vmdl","agents","False","398.3"
"tenshi","agents/models/hmn_ag2/touhou/tenshi/tenshi.vmdl","agents","False","1011.2"
"teruzuki","agents/models/hmn_ag2/kantai_collection/teruzuki/teruzuki.vmdl","agents","False","1272"
"theresa","agents/maoling/honkai_impact/theresa/twilight/theresa.vmdl","agents","False","527.2"
"tiara","agents/fys/tiara/tiara.vmdl","agents","False","311.4"
"toki","agents/models/hmn_ag2/blue_archive/toki/toki.vmdl","agents","False","1334.5"
"tololo","agents/models/hmn_ag2/dollsfrontline2/tololo/tololo.vmdl","agents","False","1197.2"
"tsukino","agents/models/hmn_ag2/monster_hunter/tsukino/tsukino.vmdl","agents","False","890.7"
"umaru chan","agents/models/hmn_ag2/himouto_umaru_chan/umaru_chan/umaru_chan.vmdl","agents","False","415.3"
"vector","agents/models/hmn_ag2/dollsfrontline2/vector/vector.vmdl","agents","False","1246.8"
"vepley","agents/models/hmn_ag2/dollsfrontline2/vepley/vepley.vmdl","agents","False","1093.1"
"volatile","agents/models/hmn_ag2/zombie/volatile/volatile.vmdl","agents","False","308.5"
"whiterunguard","agents/models/hmn_ag2/skyrim/whiterun_guard/whiterunguard.vmdl","agents","False","186.6"
"witch headcrab","agents/models/hmn_ag2/zombie/witch_headcrab/witch_headcrab.vmdl","agents","False","552.9"
"xenomorph","agents/models/hmn_ag2/zombie/xenomorph/xenomorph.vmdl","agents","False","503.8"
"yami","agents/models/hmn_ag2/to_love_ru/yami/yami.vmdl","agents","False","587.3"
"yhj","agents/fys/yhj/yhj.vmdl","agents","False","1102.7"
"yhj3","agents/fys/yzyhj/yhj3.vmdl","agents","False","774.4"
"yomu","agents/models/hmn_ag2/touhou/yomu/yomu.vmdl","agents","False","1062.3"
"yoshi","agents/models/hmn_ag2/mario_series/yoshi/yoshi.vmdl","agents","False","700"
"yuka","agents/models/hmn_ag2/blue_archive/yuka/yuka.vmdl","agents","False","1217.1"
"yun li 4k","agents/maoling/star_rail/yun_li/normal/yun_li_4k.vmdl","agents","False","1428.5"
"yuudachi","agents/maoling/black_surgenight/yuudachi/yuudachi.vmdl","agents","False","917.7"
"yuyuko","agents/models/hmn_ag2/touhou/yuyuko/yuyuko.vmdl","agents","False","1591.9"
"z46","agents/fys/z46/z46.vmdl","agents","False","1475.2"
"zhao","agents/models/hmn_ag2/zenless_zone_zero/zhao/zhao.vmdl","agents","False","964"
"zombie","agents/maoling/pvz/zombie/zombie.vmdl","agents","False","253"
"zombie basic","agents/models/s2ze/zombie_basic/zombie_basic.vmdl","agents","False","262.7"
"zombie frozen","agents/models/s2ze/zombie_frozen/zombie_frozen.vmdl","agents","False","586.6"
"zundamon","agents/models/hmn_ag2/tohoku_zunko/zundamon/zundamon.vmdl","agents","False","1108.7"
"1","characters/models/s2ze/ms/zombie/1/1.vmdl","characters","False","163.9"
"10000","characters/exg/10000/10000.vmdl","characters","False","3498.2"
"10001","characters/exg/10001/10001.vmdl","characters","False","5571.9"
"10002","characters/exg/10002/10002.vmdl","characters","False","3263.4"
"10003","characters/exg/10003/10003.vmdl","characters","False","4891.7"
"10004","characters/exg/10004/10004.vmdl","characters","False","460.7"
"10005","characters/exg/10005/10005.vmdl","characters","False","2070.7"
"10006","characters/exg/10006/10006.vmdl","characters","False","1297.1"
"10007","characters/exg/10007/10007.vmdl","characters","False","3588.9"
"10008","characters/exg/10008/10008.vmdl","characters","False","6726.5"
"10009","characters/exg/10009/10009.vmdl","characters","False","3680.8"
"10010","characters/exg/10010/10010.vmdl","characters","False","3717"
"10011","characters/exg/10011/10011.vmdl","characters","False","2511"
"10012","characters/exg/10012/10012.vmdl","characters","False","1986.4"
"10013","characters/exg/10013/10013.vmdl","characters","False","1635.5"
"10014","characters/exg/10014/10014.vmdl","characters","False","16386.5"
"10015","characters/exg/10015/10015.vmdl","characters","False","6246.6"
"10016","characters/exg/10016/10016.vmdl","characters","False","5998.8"
"10017","characters/exg/10017/10017.vmdl","characters","False","287.5"
"10018","characters/exg/10018/10018.vmdl","characters","False","2854.2"
"10019","characters/exg/10019/10019.vmdl","characters","False","3021.7"
"10020","characters/exg/10020/10020.vmdl","characters","False","3364.7"
"10021","characters/exg/10021/10021.vmdl","characters","False","2735.8"
"10022","characters/exg/10022/10022.vmdl","characters","False","4548.1"
"10023","characters/exg/10023/10023.vmdl","characters","False","4888.3"
"10024","characters/exg/10024/10024.vmdl","characters","False","4493.7"
"10025","characters/exg/10025/10025.vmdl","characters","False","1042.2"
"10026","characters/exg/10026/10026.vmdl","characters","False","988.7"
"10027","characters/exg/10027/10027.vmdl","characters","False","417.2"
"10028","characters/exg/10028/10028.vmdl","characters","False","77.2"
"10030","characters/exg/10030/10030.vmdl","characters","False","1062.3"
"10031","characters/exg/10031/10031.vmdl","characters","False","1204.6"
"10033","characters/exg/10033/10033.vmdl","characters","False","1967.2"
"10034","characters/exg/10034/10034.vmdl","characters","False","6057.1"
"10035","characters/exg/10035/10035.vmdl","characters","False","5253.4"
"10036","characters/exg/10036/10036.vmdl","characters","False","6340.7"
"10037","characters/exg/10037/10037.vmdl","characters","False","3378.7"
"10039","characters/exg/10039/10039.vmdl","characters","False","807"
"10040","characters/exg/10040/10040.vmdl","characters","False","5411.1"
"10041","characters/exg/10041/10041.vmdl","characters","False","613.2"
"10042","characters/exg/10042/10042.vmdl","characters","False","1620.5"
"10043","characters/exg/10043/10043.vmdl","characters","False","1690.1"
"10044","characters/exg/10044/10044.vmdl","characters","False","2146.2"
"10045","characters/exg/10045/10045.vmdl","characters","False","1909.1"
"10046","characters/exg/10046/10046.vmdl","characters","False","4920.3"
"10047","characters/exg/10047/10047.vmdl","characters","False","1218.5"
"10048","characters/exg/10048/10048.vmdl","characters","False","1321.2"
"10049","characters/exg/10049/10049.vmdl","characters","False","224.6"
"10050","characters/exg/10050/10050.vmdl","characters","False","242.2"
"10051","characters/exg/10051/10051.vmdl","characters","False","615.4"
"10052","characters/exg/10052/10052.vmdl","characters","False","4755.7"
"10053","characters/exg/10053/10053.vmdl","characters","False","2433.2"
"10054","characters/exg/10054/10054.vmdl","characters","False","333.8"
"10055","characters/exg/10055/10055.vmdl","characters","False","1000.9"
"10056","characters/exg/10056/10056.vmdl","characters","False","727.3"
"10057","characters/exg/10057/10057.vmdl","characters","False","187"
"10058","characters/exg/10058/10058.vmdl","characters","False","627.6"
"10059","characters/exg/10059/10059.vmdl","characters","False","1230.8"
"10060","characters/exg/10060/10060.vmdl","characters","False","1105.5"
"10061","characters/exg/10061/10061.vmdl","characters","False","1517.9"
"10062","characters/exg/10062/10062.vmdl","characters","False","654.3"
"10063","characters/exg/10063/10063.vmdl","characters","False","2692.2"
"10064","characters/exg/10064/10064.vmdl","characters","False","652.6"
"10065","characters/exg/10065/10065.vmdl","characters","False","1547.3"
